trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,13,19.41656361220248,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,9,11.513785726425203,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,12,-73.47216406866777,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,12,9.376540241039761,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,14,-13.036833615624838,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,0,-14.061961523593546,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,23.992193384724306,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,19,10.977400359358835,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,0,7.237030193135857,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,-8.456760068318498,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,9,-21.06062702106445,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,0,-25.71891669729417,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,10,17.4535896918428,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,9,5.513379592293693,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,0,-0.31120217702984854,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
